"","(Intercept)","wqs","male1","LBXWBCSI","LBXLYPCT","LBXMOPCT","LBXEOPCT","LBXBAPCT","LBXNEPCT","age_cent","age_sq","race_cat2","race_cat3","race_cat4","bmi_cat32","bmi_cat33","ln_lbxcot","edu_cat2","edu_cat3","edu_cat4","wqs:male1"
"1",7.59198791184497,0.0149260071665838,0.0397181386367159,-0.00366745836173395,-0.0756964486627396,-0.0762406099758136,-0.0734131128609588,-0.0458475907844781,-0.0755741268670665,-0.00643954149939418,0.00000837941212324621,-0.0617925945091063,-0.00609095138800114,-0.0611482238213016,-0.00143873590737569,0.013066538588213,-0.000497196642651316,0.0235689367872532,0.0425740409199708,0.0145136440560517,-0.0183227722848561
"2",1.62249018667765,0.0232865206172348,-0.000372493485799119,-0.00352907820185519,-0.0164650827239181,-0.0191903171062646,-0.0147392593316819,-0.011669611980879,-0.0157664943968356,-0.0074368474389844,-0.00000081173440423619,-0.00736257077709642,0.00112746482486014,-0.0174128149819776,0.00945635899701937,-0.0019814122051762,0.00321162534715632,0.0117933080523482,0.0272376587872189,0.00253783219340276,-0.0111570969944469
"3",-0.639369459570468,0.0232029552190073,0.0468313447266167,-0.00582104299000361,0.00664739346353539,-0.00167105224754623,0.00868856795948905,0.00741426937824048,0.00817080816285832,-0.00638969204999421,-0.0000154031891777021,-0.0567844181251776,-0.0203294215763824,-0.0719741906547063,-0.00849524005253757,-0.0264678739336599,0.00345561320432314,0.0368053774659305,0.0425907790333577,0.0124448681799016,-0.0168819797065197
"4",2.39490495617096,0.0218723928114306,0.0910215210004179,-0.00135849474321961,-0.0233089267521142,-0.0284466375438437,-0.0259551099511359,-0.00435234503409481,-0.0237181109561835,-0.00591795053634666,-0.0000208746214521197,-0.0362436891416169,-0.0119791018210603,-0.0294234044490007,0.00338612601549965,-0.0126966080537374,0.000957715749514042,0.0258709788764876,0.0339436700348688,0.0154649285355829,-0.0277990437375493
"5",-6.43040804267013,0.0213382979321784,0.0141529862938246,-0.00626644796927122,0.0640633266887483,0.0584504680902048,0.0617298703981439,0.0873177733344494,0.0652759288133632,-0.00739396833642611,-0.0000181035675112111,0.00452704137155811,0.0175576375985538,-0.00529979625580509,0.00603702267846903,0.0120610820607016,0.00227936898039132,0.022288752915642,0.0452708829268253,0.0203996471398553,-0.0118312890108141
"6",-13.2967927230991,0.0177086230464999,0.0123374838137209,-0.00682848523554073,0.133950457444818,0.128730925930891,0.133618666194891,0.147336305209383,0.133753228365755,-0.00675419048542347,-0.0000129426830706716,-0.0271241102879789,-0.00912454505223074,-0.0301337179353727,0.0169972539318232,0.00302098787672884,0.00457509514649741,0.0265211816417183,0.0254705868628119,0.0227497994398926,-0.0102316203072692
"7",10.3390681908795,0.016179392410941,0.00898981589624204,-0.00767188664418639,-0.102156450418277,-0.110060583579045,-0.098746772817881,-0.105460241896472,-0.101395565848097,-0.00660692521788234,-0.0000131491209262833,-0.0683702276709077,-0.0167698018185523,-0.0516789444345681,0.00955128750746057,0.00387034952605673,0.00164858251323809,0.0119748334806102,0.0239099440903567,-0.00817745263919339,-0.0113984968642691
"8",7.71989109963297,0.0214470989691168,0.0457811063722531,-0.00460951140823229,-0.0772114050843349,-0.081762513248817,-0.0787367027458638,-0.0576338106866009,-0.0762801328044928,-0.0068520995569934,-0.0000209759462397652,-0.00631537966999357,0.0340699606031385,-0.018417777041902,-0.035135535696775,-0.033629452683101,0.00229497881243171,0.0224411848065578,0.0460467207952221,0.0371818182238301,-0.0147743696740945
"9",4.06717777185098,0.019198893651269,0.0041078991911003,-0.00378428157184489,-0.0406938391785037,-0.0454178576014656,-0.0377442571519428,-0.0234164238713803,-0.0395716438976075,-0.00747765014720288,-0.0000000250168407752471,-0.0216244875605339,0.00632828327880818,-0.0104771365271204,-0.0285512577569764,-0.0333264970920307,0.00302695643351165,0.0100160494830516,0.0278716312896652,-0.00551194896566664,-0.00948151811061893
"10",3.50806102381378,0.0136550424955999,0.032852489922264,-0.00588774321939074,-0.0345636935138174,-0.0400815824077067,-0.0385447140609541,-0.0120825523758775,-0.0339739677588898,-0.00593358457310863,-0.0000367819320468007,-0.0106581317760291,0.0192375168853851,-0.0128294980862054,0.0114040399060382,-0.00139454095848508,-0.000203000240216687,0.0117942358753272,0.0444262261657561,0.0104807096693599,-0.0132462144048345
