"","biomarkers","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"1","LBX074LA","LBX074LA",0.00873908394238715,0.00320132554887852,2.72983294230997,0.00644988438852974,0.00246460116379733,0.015013566720977
"2","LBX099LA","LBX099LA",0.0095555943609834,0.00278734967595463,3.42820078995318,0.000632800359820902,0.00409248938379314,0.0150186993381738
"3","LBX118LA","LBX118LA",0.0113424939879358,0.00304122204314357,3.72958430099091,0.000202764749160639,0.00538180831438496,0.0173031796614867
"4","LBX138LA","LBX138LA",0.00966983542471028,0.00340957678265174,2.83608085141573,0.004660832064595,0.00298718772818896,0.0163524831212315
"5","LBX153LA","LBX153LA",0.0101150807591383,0.00362920896890464,2.78713098248271,0.00542015435504531,0.00300196188771551,0.0172281996305612
"6","LBX170LA","LBX170LA",0.00784892774761511,0.00378616050784759,2.07305731792052,0.0384270223644507,0.000428189512545728,0.0152696659826843
"7","LBX180LA","LBX180LA",0.00616239393599954,0.00396028233699028,1.55604914287066,0.120018284318796,-0.0015996168131114,0.0139244046851106
"8","LBX187LA","LBX187LA",0.00654409686877767,0.00339965318751577,1.92493072317169,0.0545263373868373,-0.000119100938679854,0.0132072946762354
"9","LBX194LA","LBX194LA",0.00498549083585376,0.00365482608384021,1.36408428786723,0.172853274337649,-0.00217783665823085,0.0121488183299385
"10","LBXD03LA","LBXD03LA",0.00597047637396798,0.00343493603733436,1.73816231483637,0.0824953507528838,-0.000761874548405982,0.0127028272963419
"11","LBXD05LA","LBXD05LA",0.00278071004416548,0.0026833353697735,1.03628867099091,0.300322341658554,-0.00247853063903298,0.00803995072736391
"12","LBXD07LA","LBXD07LA",0.00119859349331637,0.00273210983559199,0.438706188785656,0.660970844509457,-0.00415624338625152,0.00655343037288425
"13","LBXF03LA","LBXF03LA",0.0114519818833139,0.00269167914645947,4.2545865462373,0.0000229450843897708,0.00617638769831582,0.016727576068312
"14","LBXF04LA","LBXF04LA",0.00666311575158884,0.00268883050145684,2.47807206440818,0.0133764565161629,0.00139310480820081,0.011933126694977
"15","LBXF05LA","LBXF05LA",0.00589265451963637,0.00261915979059843,2.24982627665111,0.0246805126594402,0.000759195660308044,0.0110261133789647
"16","LBXF08LA","LBXF08LA",0.00576558886863672,0.00235440460207937,2.44885219114193,0.0145049797887581,0.00115104064352587,0.0103801370937476
"17","LBXHXCLA","LBXHXCLA",0.0108672483809177,0.00352132743443027,3.08612265779708,0.00208461970375631,0.00396557343166149,0.017768923330174
"18","LBXPCBLA","LBXPCBLA",0.00919969291020173,0.00274610408299289,3.35008893769798,0.000838578255064342,0.00381742780973712,0.0145819580106663
