"","biomarkers","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"1","LBX074LA","LBX074LA",0.00873908394238715,0.00320132554887852,2.72983294230997,0.00644988438852972,0.00246460116379733,0.0150135667209768
"2","LBX099LA","LBX099LA",0.00955559436098341,0.00278734967595463,3.42820078995318,0.000632800359820899,0.00409248938379279,0.015018699338174
"3","LBX118LA","LBX118LA",0.0113424939879358,0.00304122204314357,3.72958430099091,0.000202764749160638,0.00538180831438522,0.0173031796614864
"4","LBX138LA","LBX138LA",0.00966983542471026,0.00340957678265174,2.83608085141573,0.00466083206459506,0.00298718772818906,0.0163524831212317
"5","LBX153LA","LBX153LA",0.0101150807591383,0.00362920896890464,2.78713098248271,0.0054201543550453,0.00300196188771566,0.0172281996305609
"6","LBX170LA","LBX170LA",0.00784892774761512,0.00378616050784759,2.07305731792052,0.0384270223644503,0.000428189512545773,0.0152696659826843
"7","LBX180LA","LBX180LA",0.00616239393599952,0.00396028233699028,1.55604914287065,0.120018284318797,-0.00159961681311138,0.0139244046851105
"8","LBX187LA","LBX187LA",0.00654409686877766,0.00339965318751577,1.92493072317169,0.0545263373868374,-0.00011910093868003,0.0132072946762354
"9","LBX194LA","LBX194LA",0.00498549083585376,0.00365482608384021,1.36408428786723,0.172853274337649,-0.00217783665823068,0.0121488183299382
"10","LBXD03LA","LBXD03LA",0.00597047637396799,0.00343493603733436,1.73816231483638,0.0824953507528834,-0.000761874548406115,0.0127028272963421
"11","LBXD05LA","LBXD05LA",0.00278071004416545,0.0026833353697735,1.0362886709909,0.300322341658559,-0.00247853063903322,0.00803995072736411
"12","LBXD07LA","LBXD07LA",0.00119859349331636,0.00273210983559199,0.438706188785655,0.660970844509458,-0.00415624338625165,0.00655343037288448
"13","LBXF03LA","LBXF03LA",0.0114519818833139,0.00269167914645947,4.25458654623729,0.0000229450843897711,0.00617638769831592,0.0167275760683121
"14","LBXF04LA","LBXF04LA",0.00666311575158885,0.00268883050145684,2.47807206440818,0.0133764565161629,0.00139310480820058,0.0119331266949771
"15","LBXF05LA","LBXF05LA",0.00589265451963636,0.00261915979059843,2.24982627665111,0.0246805126594403,0.000759195660308042,0.0110261133789647
"16","LBXF08LA","LBXF08LA",0.00576558886863671,0.00235440460207937,2.44885219114193,0.0145049797887583,0.00115104064352577,0.0103801370937475
"17","LBXHXCLA","LBXHXCLA",0.0108672483809177,0.00352132743443027,3.08612265779708,0.00208461970375633,0.00396557343166161,0.0177689233301738
"18","LBXPCBLA","LBXPCBLA",0.00919969291020174,0.00274610408299289,3.35008893769798,0.000838578255064332,0.00381742780973737,0.0145819580106665
