"","LBX074LA_0","LBX074LA_1","LBX099LA_0","LBX099LA_1","LBX118LA_0","LBX118LA_1","LBX138LA_0","LBX138LA_1","LBX153LA_0","LBX153LA_1","LBX170LA_0","LBX170LA_1","LBX180LA_0","LBX180LA_1","LBX187LA_0","LBX187LA_1","LBX194LA_0","LBX194LA_1","LBXD03LA_0","LBXD03LA_1","LBXD05LA_0","LBXD05LA_1","LBXD07LA_0","LBXD07LA_1","LBXF03LA_0","LBXF03LA_1","LBXF04LA_0","LBXF04LA_1","LBXF05LA_0","LBXF05LA_1","LBXF08LA_0","LBXF08LA_1","LBXHXCLA_0","LBXHXCLA_1","LBXPCBLA_0","LBXPCBLA_1"
"1",0.11390343212895,0.00166395302591059,0.204314148171565,0.143216678749289,0.0153558209760251,0.156899869584657,0.022459000067334,0.0206000973384355,0.00757722947616193,0.010333294641424,0.0000589691935456654,0.0000551452219546142,0.0000100960197312424,0.000234666222942164,0.00105632824068904,0.000125126081656646,0.00977500047242762,0.0371371805935488,0.0597843569203957,0.0000276532497989589,0.00782681537073074,0.157034698839138,0.0242488219393191,0.0000944303092403353,0.108014824175221,0.234326357812109,0.0120679417783306,0.0926313277289193,0.000793413297280844,0.130826617653555,0.276879442437607,0.00000815847976774947,0.025848263547238,0.00000515444017715012,0.110026095787448,0.014779590027477
"2",0.000128263668509659,0.0406960131989652,0.312591675111497,0.0731694905535491,0.00080413027948479,0.0314141132916185,0.0434350862468304,0.134617667579012,0.0000251286665528412,0.00085956079399312,0.000530896527671302,0.000100974633746909,0.0000099882861400506,0.000218504792148949,0.00000434858344806954,0.0926030794443264,0.0171815898259037,0.074800749304935,0.00051713990005175,0.00617471069863901,0.0287538160967955,0.0198162587933573,0.0133482339609306,0.0000046011651700514,0.296879875744456,0.279578424013817,0.000113410821274434,0.0911424272477339,0.0000112862361670084,0.0113330858851155,0.0116811261346467,0.0872773922345061,0.229141057687373,0.00154767012541602,0.0448429462222676,0.0546452762439503
"3",0.0276471573005185,0.177645374774755,0.318039183419358,0.12305876002417,0.026158329029917,0.173320327867708,0.0874516246991999,0.00301358198706454,0.00000974238024926901,0.0000256771358185755,0.00000553208426055551,0.0000661411725141342,0.00000636278965754257,0.00407427488040969,0.00674917883386608,0.0119884861683715,0.00279449029191072,0.0423673976476984,0.05599450466083,0.0317022749282725,0.0101087264770185,0.0825116972411362,0.0954902822341758,0.00101964351513628,0.234335983132754,0.181687540423024,0.00000731709015848479,0.0781346866021274,0.0131048206378053,0.00601565203543501,0.0348952736476033,0.0503092235637986,0.035258613522963,0.0285139219262418,0.0519428777677544,0.0045453381063181
"4",0.0419603346648687,0.00287505528192945,0.0937124624725498,0.0747496646819014,0.126853408302336,0.0314759808962235,0.020914631787335,0.0133335881207252,0.000195639064386285,0.0216216686247482,0.0112788924852374,0.000035077241672617,0.000608899723497903,0.00574078707229929,0.0223644243206106,0.000688718064246428,0.00669783733433209,0.0469862974896245,0.0157764265390519,0.18797800291207,0.0224349762245534,0.00405855063430065,0.0664889785091125,0.000524652668543284,0.0326897635926663,0.0329631957658104,0.0888683912062546,0.0105780225840603,0.0140643330763118,0.000640549217924344,0.310147832679645,0.23608248117449,0.0753090767143358,0.272114665696184,0.0496336913029145,0.0575530418732465
"5",0.000052103372725197,0.0142172572476387,0.0708918718843618,0.00136564773544907,0.000561543579250419,0.0839500797640656,0.0336772885645866,0.0621369837525397,0.000629469423729801,0.00228859344622496,0.0922651118484053,0.000316535689198817,0.00984484902067593,0.0374449865976628,0.123970768705587,0.0000465559151851847,0.16930234114802,0.0866625989522428,0.0000745685844269424,0.00669215717504242,0.000049905782259737,0.018835855149286,0.000054561951701944,0.0000608199133265005,0.140527263022356,0.420756951632617,0.0407680675605748,0.000362574188790844,0.0155656105771941,0.0131591026204347,0.146258561098007,0.150578954022793,0.0842156795716684,0.00592236827566509,0.0712904343044701,0.0952019779218364
"6",0.0114218992866037,0.0794078566637432,0.0604005440333708,0.0828849334678655,0.0619051080957287,0.131430743040908,0.0046209846029958,0.00232226708239393,0.150694511317109,0.0383111688809014,0.0481818744067486,0.04089857813627,0.000157854650836685,0.0215881672122127,0.00366939480767892,0.0174676380671447,0.0788986625873642,0.134254137862226,0.0106738625501475,0.0264768416624874,0.00273642842379124,0.102609487659863,0.000478262113832346,0.0084802551578922,0.386940524567713,0.199979940833466,0.0216903196431455,0.00104315672537432,0.00315255967337289,0.00780419788149272,0.0391876922913021,0.0623575364092308,0.0503698797824241,0.00948483127380084,0.064819637165835,0.0331982619827274
"7",0.00000718134955634527,0.0200683005288399,0.0708920437663139,0.0168767901527947,0.00000585760044214961,0.191393000027858,0.00544847239718106,0.0510014248304806,0.0203116366247832,0.038792343904224,0.00129980813752941,0.0192028134697938,0.00467729813208917,0.00821224799969417,0.0095200812982916,0.049057246715587,0.0130740114298356,0.0639705856030905,0.0244600563567362,0.0000224206218514218,0.000012377373523455,0.0166906936592541,0.00206012849877322,0.00243142893495033,0.103947772300021,0.0919252259994293,0.00000757145493549418,0.0348722514669567,0.00864063421428103,0.143876828371512,0.189270988486487,0.0374465608050025,0.546279538089057,0.0338157291718261,0.0000845424901630041,0.180344107736855
"8",0.0129107430594611,0.0488744240224505,0.0616040576664466,0.00368283441127526,0.0768728026455276,0.115992399762278,0.038363056415183,0.0255437486075699,0.0169993200969397,0.0333210134530786,0.00750801345268885,0.0000662506880525,0.0000189390722399652,0.000749241013136177,0.0000198059205496715,0.0362310606937433,0.0000163822391934663,0.0260912560469804,0.0229420365954049,0.0117510173816863,0.00135267001752882,0.0362290277245804,0.000156188084454174,0.000530863340316543,0.191329954440593,0.386672128708387,0.0773459181579803,0.0000360884839547665,0.102843125874653,0.0000347133890797201,0.105454046133221,0.0231118230463577,0.0672150728140703,0.205823929255655,0.217047867313864,0.0452581799714173
"9",0.00571339048005531,0.157491496715114,0.0684817571750798,0.0206512546833727,0.00906225487061765,0.0286884534022611,0.012384498369114,0.00796497853746053,0.00000456099185578133,0.0483704668166354,0.0174526967791909,0.00254274446175601,0.00295523618367003,0.0383436407276177,0.0173611094023192,0.0486755015004305,0.0198557537962671,0.0914817556372858,0.0000334522060606981,0.0852276971904454,0.021272463699233,0.0000170588876704212,0.0914741286955781,0.0000256430206838524,0.0157645443995248,0.114845508469991,0.110593743933511,0.068149088246435,0.00000383194604437139,0.0387019224455551,0.049201883571688,0.0839572139879857,0.382256131434975,0.109457972885943,0.176128562065215,0.0554076023833568
"10",0.00498807681914006,0.000436314357764029,0.191127464205007,0.0626487863248951,0.0287548821600472,0.0560279506762714,0.0610508412304506,0.027615203211232,0.00174269765208161,0.000509533503251543,0.0336761424849067,0.000297519970204922,0.0158626572240892,0.000116624108419992,0.0263244015500707,0.0000385470415643982,0.00424358568634612,0.140005199971166,0.013838505081788,0.0570650544346099,0.00377753883050345,0.00345417216899281,0.0000386872679781493,0.0163232824061214,0.0841709570780309,0.140050974476272,0.084817301947944,0.0255193251437034,0.00529218062483762,0.0273974386782273,0.262522064936562,0.267136907942279,0.0171019954182286,0.124494284743176,0.160670019801988,0.0508628808418492
